,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
189,8,4,Aquiles Serdán,21.84,11.81,506
190,8,5,Ascensión,22.61,9.0,502
191,8,6,Bachíniva,15.71,4.75,289
192,8,7,Balleza,16.95,2.15,421
193,8,8,Batopilas de Manuel Gómez Morín,26.32,11.63,41
194,8,9,Bocoyna,15.37,3.17,485
195,8,10,Buenaventura,21.01,5.0,273
196,8,12,Carichí,18.39,5.33,590
197,8,13,Casas Grandes,19.42,2.71,772
198,8,14,Coronado,21.84,10.53,351
199,8,15,Coyame del Sotol,22.36,6.86,444
200,8,16,La Cruz,24.24,8.34,613
201,8,18,Cusihuiriachi,16.78,6.3,171
202,8,19,Chihuahua,20.54,5.16,695
203,8,20,Chínipas,27.79,11.13,643
204,8,21,Delicias,23.38,11.66,78
205,8,22,Dr. Belisario Domínguez,19.79,8.9,486
206,8,23,Galeana,22.425,7.825,778
207,8,24,Santa Isabel,20.36,7.45,839
208,8,26,Gran Morelos,19.52,7.36,65
209,8,27,Guachochi,16.6,4.37,265
210,8,29,Guadalupe y Calvo,20.93,3.97,755
211,8,30,Guazapares,27.17,12.09,236
212,8,32,Hidalgo del Parral,21.47,9.06,304
213,8,33,Huejotitán,20.65,7.87,756
214,8,34,Ignacio Zaragoza,18.52,2.04,474
215,8,35,Janos,21.41,6.37,474
216,8,38,Julimes,22.39,11.72,374
217,8,39,López,22.4,11.41,562
218,8,40,Madera,20.39,1.9,369
219,8,41,Maguarichi,21.13,8.47,682
220,8,42,Manuel Benavides,21.3,9.49,87
221,8,43,Matachí,19.78,1.91,323
222,8,45,Meoqui,25.03,9.7,49
223,8,47,Moris,23.42,5.99,693
224,8,48,Namiquipa,18.19,1.31,446
225,8,49,Nonoava,19.29,5.46,721
226,8,50,Nuevo Casas Grandes,21.02,6.1,572
227,8,52,Ojinaga,23.13,8.14,353
228,8,53,Praxedis G. Guerrero,22.6,8.81,505
229,8,54,Riva Palacio,17.61,2.88,644
230,8,55,Rosales,24.02,9.27,883
231,8,57,San Francisco de Borja,19.45,7.32,197
232,8,58,San Francisco de Conchos,23.22,11.97,473
233,8,59,San Francisco del Oro,19.31,7.46,853
234,8,60,Santa Bárbara,19.6,7.77,838
235,8,61,Satevó,21.06,9.67,968
236,8,62,Saucillo,23.08,11.77,820
237,8,63,Temósachic,19.86,2.64,434
238,8,64,El Tule,20.83,7.18,949
239,8,65,Urique,27.41,12.95,239
240,8,66,Uruachi,25.01,8.63,782
241,8,67,Valle de Zaragoza,22.17,10.34,452
242,9,2,Azcapotzalco,25.73,12.17,771
243,9,3,Coyoacán,22.76,11.05,237
244,9,4,Cuajimalpa de Morelos,19.27,7.12,651
245,9,5,Gustavo A. Madero,27.25,13.78,933
246,9,6,Iztacalco,24.61,13.6,200
247,9,7,Iztapalapa,23.87,12.97,856
248,9,8,La Magdalena Contreras,19.75,7.14,547
249,9,9,Milpa Alta,23.39,12.23,932
250,9,10,Álvaro Obregón,22.025,10.07,547
251,9,11,Tláhuac,23.43,12.35,208
252,9,12,Tlalpan,21.29,9.24,834
253,9,13,Xochimilco,23.14,11.63,202
254,9,14,Benito Juárez,27.458571428571428,16.49142857142857,854
255,9,15,Cuauhtémoc,23.5025,10.42,348
256,9,16,Miguel Hidalgo,22.6,10.58,704
257,10,1,Canatlán,20.64,5.09,440
258,10,2,Canelas,19.99,7.48,542
259,10,3,Coneto de Comonfort,22.7,7.4,372
260,10,4,Cuencamé,23.57,9.75,824
261,10,5,Durango,21.65,2.97,296
262,10,6,General Simón Bolívar,25.57,11.92,716
263,10,7,Gómez Palacio,24.9,13.16,81
264,10,9,Guanaceví,19.39,1.55,99
265,10,11,Indé,23.03,8.7,964
266,10,12,Lerdo,25.66,8.0,946
267,10,13,Mapimí,24.73,8.31,785
268,10,14,Mezquital,21.48,5.55,144
269,10,15,Nazas,26.34,7.59,757
270,10,16,Nombre de Dios,24.55,4.2,285
271,10,18,El Oro,22.56,6.4,314
272,10,19,Otáez,21.34,4.63,95
273,10,20,Pánuco de Coronado,25.66,4.87,788
