nmun,idmun,ides,tmax,tmin
Casas,8,28,28.634999999999998,15.485
Casas Grandes,13,8,19.17,2.97
Casimiro Castillo,21,14,27.24,15.945
Castaños,6,5,24.244999999999997,12.594999999999999
Castillo de Teayo,157,30,23.415,18.715
Catazajá,16,7,31.13,23.55
Catemaco,32,30,27.04,20.52
Catorce,6,24,26.375,9.719999999999999
Caxhuacan,29,21,20.46,12.58
Cazones de Herrera,33,30,24.045,19.42
Cañada Morelos,99,21,23.265,12.675
Cañadas de Obregón,117,14,28.555,12.215
Cañitas de Felipe Pescador,6,32,25.965,7.595000000000001
Cedral,7,24,26.77,10.465
Celaya,7,11,28.735,11.935
Celestún,11,31,32.005,21.66
Cenotillo,12,31,35.5,19.165
Centla,3,27,32.695,22.884999999999998
Centro,4,27,31.705,22.740000000000002
Cerralvo,11,19,26.27,16.79
Cerritos,8,24,28.62,14.29
Cerro Azul,34,30,25.509999999999998,19.490000000000002
Cerro de San Pedro,9,24,29.075,9.45
Chacaltianguis,54,30,29.375,22.015
Chacsinkín,16,31,34.665,19.805
Chahuites,25,20,35.39,25.255
Chalcatongo de Hidalgo,26,20,25.82,12.935
Chalchicomula de Sesma,45,21,20.17,11.405000000000001
Chalchihuites,9,32,21.535,3.94
Chalchihuitán,22,7,26.255000000000003,12.765
Chalco,25,15,18.645,8.059999999999999
Chalma,55,30,26.810000000000002,19.57
Champotón,4,4,33.795,20.505000000000003
Chamula,23,7,21.085,11.305
Chanal,24,7,21.525,11.075
Chankom,17,31,35.769999999999996,19.505
Chapa de Mota,26,15,22.64,8.55
Chapab,18,31,34.215,20.085
Chapala,30,14,26.98,16.57
Chapantongo,17,13,26.009999999999998,11.285
Chapulco,46,21,24.299999999999997,12.76
Chapulhuacán,18,13,23.21,14.37
Chapultenango,25,7,24.57,16.905
Chapultepec,27,15,18.295,6.545
Charapan,21,16,25.245,12.11
Charcas,15,24,25.89,9.06
Charo,22,16,21.85,11.84
Chavinda,23,16,30.299999999999997,14.42
Chemax,19,31,35.349999999999994,18.41
Chenalhó,26,7,25.785,12.305
Cherán,24,16,23.915,11.46
Chiapa de Corzo,27,7,26.745,16.59
Chiapilla,28,7,28.965,18.95
Chiautempan,10,29,24.005,11.035
Chiautla,47,21,28.792499999999997,16.1425
Chiautzingo,48,21,16.625,6.58
Chichimilá,21,31,35.955,18.915
Chichiquila,50,21,23.534999999999997,13.77
Chicoasén,29,7,24.71,15.57
Chicoloapan,29,15,22.25,11.63
Chicomuselo,30,7,26.619999999999997,16.455
Chiconamel,56,30,27.009999999999998,19.275
Chiconcuac,30,15,25.465000000000003,14.43
Chiconcuautla,49,21,21.085,11.004999999999999
Chiconquiaco,57,30,24.105,15.26
Chicontepec,58,30,25.134999999999998,19.2
Chicxulub Pueblo,20,31,33.145,20.595
Chietla,51,21,29.915,17.355
Chigmecatitlán,52,21,27.65,16.195
Chignahuapan,53,21,23.435000000000002,8.92
Chignautla,54,21,18.855,9.31
Chihuahua,19,8,21.41,7.18
Chikindzonot,22,31,35.655,19.55
Chila,55,21,29.545,14.92
Chila de la Sal,56,21,32.21,18.115000000000002
Chilapa de Álvarez,28,12,25.57,15.765
Chilchota,25,16,25.32,11.955
Chilchotla,58,21,20.765,10.940000000000001
Chilcuautla,19,13,27.2,11.175
Chilpancingo de los Bravo,29,12,23.815,17.365000000000002
Chilón,31,7,29.16,17.505
Chimalhuacán,31,15,25.0,14.175
Chimaltitán,31,14,28.39,11.16
China,13,19,27.82,19.165
Chinameca,59,30,29.795,21.675
Chinampa de Gorostiza,60,30,25.86,19.625
Chinantla,59,21,31.77,18.63
Chinicuila,26,16,29.729999999999997,17.915
Chiquihuitlán de Benito Juárez,27,20,26.05,14.3
Chiquilistlán,32,14,24.259999999999998,12.495000000000001
Chocamán,62,30,26.095,15.184999999999999
Chocholá,23,31,34.644999999999996,20.53
Choix,7,25,31.75,16.53
Chontla,63,30,26.445,19.38
Chucándiro,27,16,25.064999999999998,11.754999999999999
Chumatlán,64,30,21.585,16.134999999999998
Chumayel,24,31,34.245,19.950000000000003
Churintzio,28,16,29.314999999999998,14.085
Churumuco,29,16,32.15,20.17
Chínipas,20,8,28.384999999999998,11.510000000000002
Cihuatlán,22,14,30.85,21.035
Cintalapa,17,7,30.025,20.975
Citlaltépetl,35,30,26.130000000000003,19.385
Ciudad Fernández,11,24,29.445,14.7
Ciudad Ixtepec,14,20,33.045,22.51
Ciudad Madero,9,28,25.835,20.865000000000002
Ciudad Valles,13,24,27.655,18.72
Ciudad del Maíz,10,24,27.2,16.695
Ciénega de Flores,12,19,25.895,15.219999999999999
Ciénega de Zimatlán,13,20,27.630000000000003,12.594999999999999
Coacalco de Berriozábal,20,15,26.83,14.075
Coacoatzintla,36,30,21.814999999999998,12.825
Coahuayana,14,16,31.37,20.305
Coahuayutla de José María Izazaga,16,12,31.494999999999997,20.3
Coahuitlán,37,30,21.990000000000002,17.21
Coalcomán de Vázquez Pallares,15,16,28.25,16.585
Coapilla,18,7,26.845,16.53
Coatecas Altas,15,20,28.14,13.475000000000001
Coatepec,30,21,21.4675,12.8275
Coatepec Harinas,21,15,19.145,10.76
Coatlán del Río,5,17,24.68,14.605
Coatzacoalcos,39,30,29.134999999999998,22.615000000000002
Coatzingo,31,21,28.564999999999998,17.335
Coatzintla,40,30,22.560000000000002,18.055
Cochoapa el Grande,78,12,26.29,16.48
Cocotitlán,22,15,18.95,8.735
Cocula,17,12,28.572499999999998,15.264999999999999
Coeneo,16,16,23.995,11.705
Coetzala,41,30,28.79,18.665
Cohetzala,32,21,31.215,17.625
Cohuecan,33,21,23.314999999999998,13.190000000000001
Coicoyán de las Flores,16,20,26.08,15.005
Cojumatlán de Régules,74,16,27.435000000000002,15.46
Colima,2,6,28.235,17.57
Colipa,42,30,25.055,17.994999999999997
Colotlán,25,14,25.585,7.305
Colón,5,22,26.08,11.195
Comala,3,6,26.314999999999998,15.325
Comalcalco,5,27,29.86,22.695
Comapa,43,30,29.75,19.53
Comitán de Domínguez,19,7,27.045,16.75
Comondú,1,3,30.11,17.08
Comonfort,9,11,27.71,11.809999999999999
Compostela,4,18,28.435000000000002,19.025
Concepción Buenavista,18,20,26.705,12.145
Concepción Pápalo,19,20,27.035,13.68
Concepción de Buenos Aires,26,14,27.995,14.29
Concepción del Oro,7,32,25.494999999999997,9.655000000000001
Concordia,4,25,28.630000000000003,14.825
Coneto de Comonfort,3,10,23.87,8.274999999999999
Conkal,13,31,33.96,20.44
Constancia del Rosario,20,20,27.655,15.645
Contepec,17,16,21.265,8.24
Contla de Juan Cuamatzi,18,29,24.67,10.765
Copainalá,21,7,24.14,16.72
Copala,18,12,30.740000000000002,23.965
Copalillo,19,12,30.48,17.535
Copanatoyac,20,12,25.240000000000002,14.05
Copándaro,18,16,25.425,11.695
Coquimatlán,4,6,27.96,17.89
Coronado,14,8,23.65,11.465
Coronango,34,21,22.63,11.59
Coroneo,10,11,23.634999999999998,9.56
Corregidora,6,22,26.835,12.004999999999999
Cortazar,11,11,29.515,12.14
Cosalá,5,25,30.354999999999997,15.395
Cosamaloapan de Carpio,45,30,29.585,22.04
Cosautlán de Carvajal,46,30,23.865000000000002,14.295
Coscomatepec,47,30,23.744999999999997,14.030000000000001
Cosolapa,21,20,31.425,21.43
Cosoleacaque,48,30,29.92,21.740000000000002
Cosoltepec,22,20,29.185000000000002,14.55
Cosío,4,1,27.215,9.495000000000001
Cotaxtla,49,30,30.54,21.935
Cotija,19,16,28.515,15.605
Coxcatlán,35,21,26.3875,15.3275
Coxquihui,50,30,22.385,17.6
Coyame del Sotol,15,8,21.845,9.100000000000001
Coyoacán,3,9,24.63,12.280000000000001
Coyomeapan,36,21,27.0,14.785
Coyotepec,37,21,27.072499999999998,13.2275
Coyuca de Benítez,21,12,30.195,23.04
Coyuca de Catalán,22,12,28.255000000000003,18.38
Coyutla,51,30,22.145,17.66
Cozumel,1,23,30.28,22.775
Cruillas,10,28,27.345,18.02
Cuajimalpa de Morelos,4,9,21.03,8.379999999999999
Cuajinicuilapa,23,12,31.96,22.85
Cualác,24,12,28.935,15.515
Cuapiaxtla,8,29,24.439999999999998,10.33
Cuapiaxtla de Madero,38,21,24.32,13.745000000000001
Cuatro Ciénegas,7,5,25.625,10.76
Cuauhtémoc,15,9,24.555,11.12875
Cuautempan,39,21,20.29,10.395
Cuautepec,25,12,30.45,22.17
Cuautepec de Hinojosa,16,13,24.33,9.765
Cuautinchán,40,21,23.384999999999998,13.75
Cuautitlán,24,15,25.64,12.91
Cuautitlán Izcalli,121,15,25.255000000000003,12.795
Cuautitlán de García Barragán,27,14,26.59,15.015
Cuautla,28,14,26.375,14.525
Cuautlancingo,41,21,23.615000000000002,12.675
Cuaxomulco,9,29,23.905,10.155000000000001
Cuayuca de Andrade,42,21,29.975,17.880000000000003
Cucurpe,22,26,24.32,9.945
Cuencamé,4,10,23.88,10.27
Cuernavaca,7,17,22.244999999999997,12.47
Cuerámaro,12,11,30.61,13.31
Cuetzala del Progreso,26,12,28.165,17.509999999999998
Cuetzalan del Progreso,43,21,20.475,12.629999999999999
Cuichapa,52,30,30.200000000000003,20.9
Cuilápam de Guerrero,23,20,27.17,12.11
Cuitláhuac,53,30,31.005,21.615000000000002
Cuitzeo,20,16,26.25,11.71
Culiacán,6,25,30.465,17.35
Cumpas,23,26,24.2,8.29
Cuncunul,14,31,36.019999999999996,19.37
Cunduacán,6,27,30.46,22.805
Cuquío,29,14,27.775,13.315
Cusihuiriachi,18,8,19.88,6.32
Cutzamala de Pinzón,27,12,30.045,19.325
Cuyamecalco Villa de Zaragoza,24,20,27.125,14.344999999999999
Cuyoaco,44,21,22.145000000000003,9.815000000000001
Cuzamá,15,31,34.765,20.18
Cárdenas,5,24,29.48,19.8125
Córdoba,44,30,27.869999999999997,17.31
Degollado,33,14,29.92,13.675
Del Nayar,9,18,27.560000000000002,11.795
Delicias,21,8,23.445,12.725
Divisaderos,24,26,25.53,9.165
Doctor Arroyo,14,19,26.064999999999998,10.59
Doctor Coss,15,19,28.18,19.745
Doctor González,16,19,26.39,16.08
Doctor Mora,13,11,21.275,9.7
Dolores Hidalgo Cuna de la Independencia Nacional,14,11,26.655,11.4
Domingo Arenas,60,21,17.265,7.715
Donato Guerra,32,15,17.575,8.719999999999999
Dr. Belisario Domínguez,22,8,22.805,10.205
Durango,5,10,23.305,3.8200000000000003
Dzemul,26,31,32.834999999999994,20.465000000000003
Dzidzantún,27,31,32.705,20.545
Dzilam González,29,31,33.24,20.23
Dzilam de Bravo,28,31,31.475,21.12
Dzitás,30,31,35.805,19.189999999999998
Dzoncauich,31,31,34.94,19.5
Dzán,25,31,34.08,19.975
Ebano,16,24,28.634999999999998,20.155
Ecatepec de Morelos,33,15,27.79,15.55
Ecatzingo,34,15,17.04,8.795
Ecuandureo,30,16,30.66,14.155000000000001
Eduardo Neri,75,12,26.855,16.905
Ejutla,34,14,25.295,13.57
El Arenal,9,13,26.81,11.3
El Barrio de la Soledad,10,20,31.494999999999997,21.665
El Bosque,14,7,23.9,13.25
El Carmen,10,19,25.775,14.84
El Carmen Tequexquitla,7,29,24.165,10.92
El Espinal,30,20,33.605000000000004,24.060000000000002
El Fuerte,10,25,32.66,18.75
El Grullo,37,14,25.085,12.715
El Higo,205,30,27.48,19.57
El Limón,54,14,25.244999999999997,13.39
El Llano,10,1,27.060000000000002,9.705
El Mante,21,28,29.15,20.165
El Marqués,11,22,24.65,10.925
El Naranjo,58,24,26.23,18.08
El Oro,18,10,24.41,7.234999999999999
El Parral,122,7,30.92,19.87
El Plateado de Joaquín Amaro,15,32,26.46,7.455
El Porvenir,70,7,24.165,12.565000000000001
El Salto,70,14,28.95,13.76
El Salvador,41,32,25.854999999999997,9.19
El Tule,64,8,23.8,7.815
Elota,8,25,29.035,17.935
Eloxochitlán,61,21,24.785,14.1075
Eloxochitlán de Flores Magón,29,20,27.424999999999997,15.545
Emiliano Zapata,7,27,27.536666666666665,16.3625
Empalme,25,26,30.35,15.315
Encarnación de Díaz,35,14,28.405,10.58
Ensenada,1,2,24.490000000000002,14.46
Epatlán,62,21,28.455,17.35
Epazoyucan,22,13,24.66,9.855
Epitacio Huerta,31,16,22.865000000000002,9.145
Erongarícuaro,32,16,22.04,11.75
Escobedo,8,5,26.08,14.405
Escuinapa,9,25,30.2,17.605
Escuintla,32,7,29.95,18.759999999999998
Escárcega,9,4,34.695,22.07
Españita,12,29,22.685000000000002,8.725
Esperanza,63,21,21.105,12.015
Espinal,66,30,22.27,17.36
Espita,32,31,35.665,18.915
Etchojoa,26,26,30.445,16.755
Etzatlán,36,14,29.8,13.29
Ezequiel Montes,7,22,27.675,12.2
Felipe Carrillo Puerto,2,23,33.915,19.604999999999997
